札番号,登録キーワード,文字数,生成元の情報
1,あきの,3,決まり字
1,秋の,2,漢字パーツ (1句目)
1,秋の田,3,漢字パーツ (1句目)
1,田の,2,漢字パーツ (1句目)
1,の田の,3,漢字パーツ (1句目)
1,あき,2,ひらがなパーツ (1句目)
1,のた,2,ひらがなパーツ (1句目)
1,のたの,3,ひらがなパーツ (1句目)
1,たの,2,ひらがなパーツ (1句目)
1,かり,2,漢字パーツ (2句目)
1,かりほ,3,漢字パーツ (2句目)
1,庵の,2,漢字パーツ (2句目)
1,の庵の,3,漢字パーツ (2句目)
1,ほの,2,ひらがなパーツ (2句目)
1,いほ,2,ひらがなパーツ (2句目)
1,いほの,3,ひらがなパーツ (2句目)
1,りほの,3,ひらがなパーツ (2句目)
1,苫を,2,漢字パーツ (3句目)
1,あらみ,3,漢字パーツ (3句目)
1,とま,2,ひらがなパーツ (3句目)
2,はるす,3,決まり字
2,春過,2,漢字パーツ (1句目)
2,春過ぎ,3,漢字パーツ (1句目)
2,ぎて,2,漢字パーツ (1句目)
2,過ぎて,3,漢字パーツ (1句目)
2,はる,2,ひらがなパーツ (1句目)
2,すぎ,2,ひらがなパーツ (1句目)
2,すぎて,3,ひらがなパーツ (1句目)
2,夏来,2,漢字パーツ (2句目)
2,夏来に,3,漢字パーツ (2句目)
2,らし,2,漢字パーツ (2句目)
2,けらし,3,漢字パーツ (2句目)
2,なつ,2,ひらがなパーツ (2句目)
2,きに,2,ひらがなパーツ (2句目)
2,けら,2,ひらがなパーツ (2句目)
2,つきに,3,ひらがなパーツ (2句目)
2,白妙,2,漢字パーツ (3句目)
2,白妙の,3,漢字パーツ (3句目)
2,しろ,2,ひらがなパーツ (3句目)
2,たへの,3,ひらがなパーツ (3句目)
3,あし,2,決まり字
3,あしび,3,漢字パーツ (1句目)
3,きの,2,漢字パーツ (1句目)
3,びきの,3,漢字パーツ (1句目)
3,びき,2,ひらがなパーツ (1句目)
3,山鳥,2,漢字パーツ (2句目)
3,山鳥の,3,漢字パーツ (2句目)
3,尾の,2,漢字パーツ (2句目)
3,の尾の,3,漢字パーツ (2句目)
3,やま,2,ひらがなパーツ (2句目)
3,どり,2,ひらがなパーツ (2句目)
3,のを,2,ひらがなパーツ (2句目)
3,のをの,3,ひらがなパーツ (2句目)
3,まどり,3,ひらがなパーツ (2句目)
3,をの,2,ひらがなパーツ (2句目)
3,しだ,2,漢字パーツ (3句目)
3,り尾の,3,漢字パーツ (3句目)
3,りをの,3,ひらがなパーツ (3句目)
4,たご,2,決まり字
4,田子,2,漢字パーツ (1句目)
4,田子の,3,漢字パーツ (1句目)
4,浦に,2,漢字パーツ (1句目)
4,の浦に,3,漢字パーツ (1句目)
4,のう,2,ひらがなパーツ (1句目)
4,うらに,3,ひらがなパーツ (1句目)
4,らに,2,ひらがなパーツ (1句目)
4,うち,2,漢字パーツ (2句目)
4,うち出,3,漢字パーツ (2句目)
4,れば,2,漢字パーツ (2句目)
4,見れば,3,漢字パーツ (2句目)
4,いで,2,ひらがなパーツ (2句目)
4,てみ,2,ひらがなパーツ (2句目)
4,みれば,3,ひらがなパーツ (2句目)
4,ちいで,3,ひらがなパーツ (2句目)
4,白妙,2,漢字パーツ (3句目)
4,白妙の,3,漢字パーツ (3句目)
4,しろ,2,ひらがなパーツ (3句目)
4,たへの,3,ひらがなパーツ (3句目)
5,おく,2,決まり字
5,奥山,2,漢字パーツ (1句目)
5,奥山に,3,漢字パーツ (1句目)
5,山に,2,漢字パーツ (1句目)
5,やま,2,ひらがなパーツ (1句目)
5,やまに,3,ひらがなパーツ (1句目)
5,まに,2,ひらがなパーツ (1句目)
5,紅葉,2,漢字パーツ (2句目)
5,紅葉踏,3,漢字パーツ (2句目)
5,分け,2,漢字パーツ (2句目)
5,み分け,3,漢字パーツ (2句目)
5,もみ,2,ひらがなパーツ (2句目)
5,ぢふ,2,ひらがなパーツ (2句目)
5,みわ,2,ひらがなパーツ (2句目)
5,みわけ,3,ひらがなパーツ (2句目)
5,みぢふ,3,ひらがなパーツ (2句目)
5,わけ,2,ひらがなパーツ (2句目)
5,鳴く,2,漢字パーツ (3句目)
5,く鹿の,3,漢字パーツ (3句目)
5,なく,2,ひらがなパーツ (3句目)
5,しかの,3,ひらがなパーツ (3句目)
6,かさ,2,決まり字
6,鵲の,2,漢字パーツ (1句目)
6,さぎ,2,ひらがなパーツ (1句目)
6,さぎの,3,ひらがなパーツ (1句目)
6,ぎの,2,ひらがなパーツ (1句目)
6,渡せ,2,漢字パーツ (2句目)
6,渡せる,3,漢字パーツ (2句目)
6,橋に,2,漢字パーツ (2句目)
6,る橋に,3,漢字パーツ (2句目)
6,わた,2,ひらがなパーツ (2句目)
6,せる,2,ひらがなパーツ (2句目)
6,はし,2,ひらがなパーツ (2句目)
6,はしに,3,ひらがなパーツ (2句目)
6,たせる,3,ひらがなパーツ (2句目)
6,しに,2,ひらがなパーツ (2句目)
6,置く,2,漢字パーツ (3句目)
6,く霜の,3,漢字パーツ (3句目)
6,おく,2,ひらがなパーツ (3句目)
6,しもの,3,ひらがなパーツ (3句目)
7,あまの,3,決まり字
7,天の,2,漢字パーツ (1句目)
7,天の原,3,漢字パーツ (1句目)
7,の原,2,漢字パーツ (1句目)
7,あま,2,ひらがなパーツ (1句目)
7,のは,2,ひらがなパーツ (1句目)
7,のはら,3,ひらがなパーツ (1句目)
7,はら,2,ひらがなパーツ (1句目)
7,ふり,2,漢字パーツ (2句目)
7,ふりさ,3,漢字パーツ (2句目)
7,れば,2,漢字パーツ (2句目)
7,見れば,3,漢字パーツ (2句目)
7,さけ,2,ひらがなパーツ (2句目)
7,みれ,2,ひらがなパーツ (2句目)
7,みれば,3,ひらがなパーツ (2句目)
7,りさけ,3,ひらがなパーツ (2句目)
7,春日,2,漢字パーツ (3句目)
7,日なる,3,漢字パーツ (3句目)
7,かす,2,ひらがなパーツ (3句目)
7,がなる,3,ひらがなパーツ (3句目)
8,わがい,3,決まり字
8,わが,2,漢字パーツ (1句目)
8,わが庵,3,漢字パーツ (1句目)
8,庵は,2,漢字パーツ (1句目)
8,が庵は,3,漢字パーツ (1句目)
8,いほ,2,ひらがなパーツ (1句目)
8,いほは,3,ひらがなパーツ (1句目)
8,ほは,2,ひらがなパーツ (1句目)
8,都の,2,漢字パーツ (2句目)
8,都の辰,3,漢字パーツ (2句目)
8,辰巳,2,漢字パーツ (2句目)
8,の辰巳,3,漢字パーツ (2句目)
8,みや,2,ひらがなパーツ (2句目)
8,この,2,ひらがなパーツ (2句目)
8,たつ,2,ひらがなパーツ (2句目)
8,たつみ,3,ひらがなパーツ (2句目)
8,やこの,3,ひらがなパーツ (2句目)
8,つみ,2,ひらがなパーツ (2句目)
8,しか,2,漢字パーツ (3句目)
8,ぞ住む,3,漢字パーツ (3句目)
8,ぞすむ,3,ひらがなパーツ (3句目)
9,はなの,3,決まり字
9,花の,2,漢字パーツ (1句目)
9,花の色,3,漢字パーツ (1句目)
9,色は,2,漢字パーツ (1句目)
9,の色は,3,漢字パーツ (1句目)
9,はな,2,ひらがなパーツ (1句目)
9,のい,2,ひらがなパーツ (1句目)
9,いろは,3,ひらがなパーツ (1句目)
9,ろは,2,ひらがなパーツ (1句目)
9,移り,2,漢字パーツ (2句目)
9,移りに,3,漢字パーツ (2句目)
9,りな,2,漢字パーツ (2句目)
9,けりな,3,漢字パーツ (2句目)
9,うつ,2,ひらがなパーツ (2句目)
9,りに,2,ひらがなパーツ (2句目)
9,けり,2,ひらがなパーツ (2句目)
9,つりに,3,ひらがなパーツ (2句目)
9,いた,2,漢字パーツ (3句目)
9,づらに,3,漢字パーツ (3句目)
10,これ,2,決まり字
10,これや,3,漢字パーツ (1句目)
10,この,2,漢字パーツ (1句目)
10,やこの,3,漢字パーツ (1句目)
10,やこ,2,ひらがなパーツ (1句目)
10,行く,2,漢字パーツ (2句目)
10,行くも,3,漢字パーツ (2句目)
10,るも,2,漢字パーツ (2句目)
10,帰るも,3,漢字パーツ (2句目)
10,いく,2,ひらがなパーツ (2句目)
10,もか,2,ひらがなパーツ (2句目)
10,へる,2,ひらがなパーツ (2句目)
10,へるも,3,ひらがなパーツ (2句目)
10,くもか,3,ひらがなパーツ (2句目)
10,別れ,2,漢字パーツ (3句目)
10,れては,3,漢字パーツ (3句目)
10,わか,2,ひらがなパーツ (3句目)
11,わたのはらや,6,決まり字
11,わた,2,漢字パーツ (1句目)
11,わたの,3,漢字パーツ (1句目)
11,の原,2,漢字パーツ (1句目)
11,たの原,3,漢字パーツ (1句目)
11,のは,2,ひらがなパーツ (1句目)
11,のはら,3,ひらがなパーツ (1句目)
11,はら,2,ひらがなパーツ (1句目)
11,八十,2,漢字パーツ (2句目)
11,八十島,3,漢字パーツ (2句目)
11,けて,2,漢字パーツ (2句目)
11,かけて,3,漢字パーツ (2句目)
11,やそ,2,ひらがなパーツ (2句目)
11,しま,2,ひらがなパーツ (2句目)
11,かけ,2,ひらがなパーツ (2句目)
11,そしま,3,ひらがなパーツ (2句目)
11,漕ぎ,2,漢字パーツ (3句目)
11,でぬと,3,漢字パーツ (3句目)
11,こぎ,2,ひらがなパーツ (3句目)
12,あまつ,3,決まり字
12,天つ,2,漢字パーツ (1句目)
12,天つ風,3,漢字パーツ (1句目)
12,つ風,2,漢字パーツ (1句目)
12,あま,2,ひらがなパーツ (1句目)
12,つか,2,ひらがなパーツ (1句目)
12,つかぜ,3,ひらがなパーツ (1句目)
12,かぜ,2,ひらがなパーツ (1句目)
12,雲の,2,漢字パーツ (2句目)
12,雲の通,3,漢字パーツ (2句目)
12,ひ路,2,漢字パーツ (2句目)
12,通ひ路,3,漢字パーツ (2句目)
12,くも,2,ひらがなパーツ (2句目)
12,のか,2,ひらがなパーツ (2句目)
12,よひ,2,ひらがなパーツ (2句目)
12,よひぢ,3,ひらがなパーツ (2句目)
12,ものか,3,ひらがなパーツ (2句目)
12,ひぢ,2,ひらがなパーツ (2句目)
12,吹き,2,漢字パーツ (3句目)
12,閉ぢよ,3,漢字パーツ (3句目)
12,ふき,2,ひらがなパーツ (3句目)
12,とぢよ,3,ひらがなパーツ (3句目)
13,つく,2,決まり字
13,筑波,2,漢字パーツ (1句目)
13,筑波嶺,3,漢字パーツ (1句目)
13,嶺の,2,漢字パーツ (1句目)
13,波嶺の,3,漢字パーツ (1句目)
13,ばね,2,ひらがなパーツ (1句目)
13,ばねの,3,ひらがなパーツ (1句目)
13,ねの,2,ひらがなパーツ (1句目)
13,峰よ,2,漢字パーツ (2句目)
13,峰より,3,漢字パーツ (2句目)
13,つる,2,漢字パーツ (2句目)
13,落つる,3,漢字パーツ (2句目)
13,みね,2,ひらがなパーツ (2句目)
13,より,2,ひらがなパーツ (2句目)
13,おつ,2,ひらがなパーツ (2句目)
13,おつる,3,ひらがなパーツ (2句目)
13,ねより,3,ひらがなパーツ (2句目)
13,男女,2,漢字パーツ (3句目)
13,男女川,3,漢字パーツ (3句目)
13,みな,2,ひらがなパーツ (3句目)
13,のがは,3,ひらがなパーツ (3句目)
14,みち,2,決まり字
14,陸奥,2,漢字パーツ (1句目)
14,陸奥の,3,漢字パーツ (1句目)
14,奥の,2,漢字パーツ (1句目)
14,のく,2,ひらがなパーツ (1句目)
14,のくの,3,ひらがなパーツ (1句目)
14,くの,2,ひらがなパーツ (1句目)
14,しの,2,漢字パーツ (2句目)
14,しのぶ,3,漢字パーツ (2句目)
14,ずり,2,漢字パーツ (2句目)
14,ぢずり,3,漢字パーツ (2句目)
14,ぶも,2,ひらがなパーツ (2句目)
14,ぢず,2,ひらがなパーツ (2句目)
14,のぶも,3,ひらがなパーツ (2句目)
14,誰ゆ,2,漢字パーツ (3句目)
14,ゆゑに,3,漢字パーツ (3句目)
14,たれ,2,ひらがなパーツ (3句目)
15,きみがためは,6,決まり字
15,君が,2,漢字パーツ (1句目)
15,君がた,3,漢字パーツ (1句目)
15,ため,2,漢字パーツ (1句目)
15,がため,3,漢字パーツ (1句目)
15,きみ,2,ひらがなパーツ (1句目)
15,がた,2,ひらがなパーツ (1句目)
15,春の,2,漢字パーツ (2句目)
15,春の野,3,漢字パーツ (2句目)
15,でて,2,漢字パーツ (2句目)
15,出でて,3,漢字パーツ (2句目)
15,はる,2,ひらがなパーツ (2句目)
15,のの,2,ひらがなパーツ (2句目)
15,にい,2,ひらがなパーツ (2句目)
15,いでて,3,ひらがなパーツ (2句目)
15,るのの,3,ひらがなパーツ (2句目)
15,若菜,2,漢字パーツ (3句目)
15,菜摘む,3,漢字パーツ (3句目)
15,わか,2,ひらがなパーツ (3句目)
15,なつむ,3,ひらがなパーツ (3句目)
16,たち,2,決まり字
16,立ち,2,漢字パーツ (1句目)
16,立ち別,3,漢字パーツ (1句目)
16,別れ,2,漢字パーツ (1句目)
16,ち別れ,3,漢字パーツ (1句目)
16,わか,2,ひらがなパーツ (1句目)
16,わかれ,3,ひらがなパーツ (1句目)
16,かれ,2,ひらがなパーツ (1句目)
16,いな,2,漢字パーツ (2句目)
16,いなば,3,漢字パーツ (2句目)
16,山の,2,漢字パーツ (2句目)
16,の山の,3,漢字パーツ (2句目)
16,ばの,2,ひらがなパーツ (2句目)
16,やま,2,ひらがなパーツ (2句目)
16,やまの,3,ひらがなパーツ (2句目)
16,なばの,3,ひらがなパーツ (2句目)
16,まの,2,ひらがなパーツ (2句目)
16,峰に,2,漢字パーツ (3句目)
16,生ふる,3,漢字パーツ (3句目)
16,みね,2,ひらがなパーツ (3句目)
16,おふる,3,ひらがなパーツ (3句目)
17,ちは,2,決まり字
17,ちはや,3,漢字パーツ (1句目)
17,ぶる,2,漢字パーツ (1句目)
17,やぶる,3,漢字パーツ (1句目)
17,やぶ,2,ひらがなパーツ (1句目)
17,神代,2,漢字パーツ (2句目)
17,神代も,3,漢字パーツ (2句目)
17,かず,2,漢字パーツ (2句目)
17,聞かず,3,漢字パーツ (2句目)
17,かみ,2,ひらがなパーツ (2句目)
17,よも,2,ひらがなパーツ (2句目)
17,きか,2,ひらがなパーツ (2句目)
17,きかず,3,ひらがなパーツ (2句目)
17,みよも,3,ひらがなパーツ (2句目)
17,竜田,2,漢字パーツ (3句目)
17,竜田川,3,漢字パーツ (3句目)
17,たつ,2,ひらがなパーツ (3句目)
17,たがは,3,ひらがなパーツ (3句目)
18,す,1,決まり字
18,住の,2,漢字パーツ (1句目)
18,住の江,3,漢字パーツ (1句目)
18,江の,2,漢字パーツ (1句目)
18,の江の,3,漢字パーツ (1句目)
18,すみ,2,ひらがなパーツ (1句目)
18,のえ,2,ひらがなパーツ (1句目)
18,のえの,3,ひらがなパーツ (1句目)
18,えの,2,ひらがなパーツ (1句目)
18,岸に,2,漢字パーツ (2句目)
18,岸に寄,3,漢字パーツ (2句目)
18,る波,2,漢字パーツ (2句目)
18,寄る波,3,漢字パーツ (2句目)
18,きし,2,ひらがなパーツ (2句目)
18,によ,2,ひらがなパーツ (2句目)
18,るな,2,ひらがなパーツ (2句目)
18,るなみ,3,ひらがなパーツ (2句目)
18,しによ,3,ひらがなパーツ (2句目)
18,なみ,2,ひらがなパーツ (2句目)
18,よる,2,漢字パーツ (3句目)
18,さへや,3,漢字パーツ (3句目)
19,なにはが,4,決まり字
19,難波,2,漢字パーツ (1句目)
19,難波潟,3,漢字パーツ (1句目)
19,波潟,2,漢字パーツ (1句目)
19,なに,2,ひらがなパーツ (1句目)
19,はが,2,ひらがなパーツ (1句目)
19,はがた,3,ひらがなパーツ (1句目)
19,がた,2,ひらがなパーツ (1句目)
19,短き,2,漢字パーツ (2句目)
19,短き蘆,3,漢字パーツ (2句目)
19,蘆の,2,漢字パーツ (2句目)
19,き蘆の,3,漢字パーツ (2句目)
19,みじ,2,ひらがなパーツ (2句目)
19,かき,2,ひらがなパーツ (2句目)
19,あし,2,ひらがなパーツ (2句目)
19,あしの,3,ひらがなパーツ (2句目)
19,じかき,3,ひらがなパーツ (2句目)
19,しの,2,ひらがなパーツ (2句目)
19,ふし,2,漢字パーツ (3句目)
19,の間も,3,漢字パーツ (3句目)
19,のまも,3,ひらがなパーツ (3句目)
20,わび,2,決まり字
20,わびぬ,3,漢字パーツ (1句目)
20,れば,2,漢字パーツ (1句目)
20,ぬれば,3,漢字パーツ (1句目)
20,ぬれ,2,ひらがなパーツ (1句目)
20,今は,2,漢字パーツ (2句目)
20,今はた,3,漢字パーツ (2句目)
20,なじ,2,漢字パーツ (2句目)
20,おなじ,3,漢字パーツ (2句目)
20,いま,2,ひらがなパーツ (2句目)
20,はた,2,ひらがなパーツ (2句目)
20,おな,2,ひらがなパーツ (2句目)
20,まはた,3,ひらがなパーツ (2句目)
20,難波,2,漢字パーツ (3句目)
20,波なる,3,漢字パーツ (3句目)
20,なに,2,ひらがなパーツ (3句目)
20,はなる,3,ひらがなパーツ (3句目)
21,いまこ,3,決まり字
21,今来,2,漢字パーツ (1句目)
21,今来む,3,漢字パーツ (1句目)
21,むと,2,漢字パーツ (1句目)
21,来むと,3,漢字パーツ (1句目)
21,いま,2,ひらがなパーツ (1句目)
21,こむ,2,ひらがなパーツ (1句目)
21,こむと,3,ひらがなパーツ (1句目)
21,言ひ,2,漢字パーツ (2句目)
21,言ひし,3,漢字パーツ (2句目)
21,りに,2,漢字パーツ (2句目)
21,かりに,3,漢字パーツ (2句目)
21,いひ,2,ひらがなパーツ (2句目)
21,しば,2,ひらがなパーツ (2句目)
21,かり,2,ひらがなパーツ (2句目)
21,ひしば,3,ひらがなパーツ (2句目)
21,長月,2,漢字パーツ (3句目)
21,長月の,3,漢字パーツ (3句目)
21,なが,2,ひらがなパーツ (3句目)
21,つきの,3,ひらがなパーツ (3句目)
22,ふ,1,決まり字
22,吹く,2,漢字パーツ (1句目)
22,吹くか,3,漢字パーツ (1句目)
22,らに,2,漢字パーツ (1句目)
22,からに,3,漢字パーツ (1句目)
22,ふく,2,ひらがなパーツ (1句目)
22,から,2,ひらがなパーツ (1句目)
22,秋の,2,漢字パーツ (2句目)
22,秋の草,3,漢字パーツ (2句目)
22,木の,2,漢字パーツ (2句目)
22,草木の,3,漢字パーツ (2句目)
22,あき,2,ひらがなパーツ (2句目)
22,のく,2,ひらがなパーツ (2句目)
22,さき,2,ひらがなパーツ (2句目)
22,さきの,3,ひらがなパーツ (2句目)
22,きのく,3,ひらがなパーツ (2句目)
22,きの,2,ひらがなパーツ (2句目)
22,しを,2,漢字パーツ (3句目)
22,るれば,3,漢字パーツ (3句目)
23,つき,2,決まり字
23,月見,2,漢字パーツ (1句目)
23,月見れ,3,漢字パーツ (1句目)
23,れば,2,漢字パーツ (1句目)
23,見れば,3,漢字パーツ (1句目)
23,みれ,2,ひらがなパーツ (1句目)
23,みれば,3,ひらがなパーツ (1句目)
23,ちぢ,2,漢字パーツ (2句目)
23,ちぢに,3,漢字パーツ (2句目)
23,こそ,2,漢字パーツ (2句目)
23,のこそ,3,漢字パーツ (2句目)
23,にも,2,ひらがなパーツ (2句目)
23,のこ,2,ひらがなパーツ (2句目)
23,ぢにも,3,ひらがなパーツ (2句目)
23,悲し,2,漢字パーツ (3句目)
23,しけれ,3,漢字パーツ (3句目)
23,かな,2,ひらがなパーツ (3句目)
24,この,2,決まり字
24,このた,3,漢字パーツ (1句目)
24,びは,2,漢字パーツ (1句目)
24,たびは,3,漢字パーツ (1句目)
24,たび,2,ひらがなパーツ (1句目)
24,ぬさ,2,漢字パーツ (2句目)
24,ぬさも,3,漢字パーツ (2句目)
24,へず,2,漢字パーツ (2句目)
24,あへず,3,漢字パーツ (2句目)
24,もと,2,ひらがなパーツ (2句目)
24,りあ,2,ひらがなパーツ (2句目)
24,さもと,3,ひらがなパーツ (2句目)
24,手向,2,漢字パーツ (3句目)
24,手向山,3,漢字パーツ (3句目)
24,たむ,2,ひらがなパーツ (3句目)
24,けやま,3,ひらがなパーツ (3句目)
25,なにし,3,決まり字
25,名に,2,漢字パーツ (1句目)
25,名にし,3,漢字パーツ (1句目)
25,はば,2,漢字パーツ (1句目)
25,負はば,3,漢字パーツ (1句目)
25,なに,2,ひらがなパーツ (1句目)
25,しお,2,ひらがなパーツ (1句目)
25,おはば,3,ひらがなパーツ (1句目)
25,逢坂,2,漢字パーツ (2句目)
25,逢坂山,3,漢字パーツ (2句目)
25,山の,2,漢字パーツ (2句目)
25,坂山の,3,漢字パーツ (2句目)
25,あふ,2,ひらがなパーツ (2句目)
25,さか,2,ひらがなパーツ (2句目)
25,やま,2,ひらがなパーツ (2句目)
25,やまの,3,ひらがなパーツ (2句目)
25,ふさか,3,ひらがなパーツ (2句目)
25,まの,2,ひらがなパーツ (2句目)
25,さね,2,漢字パーツ (3句目)
25,かづら,3,漢字パーツ (3句目)
26,をぐ,2,決まり字
26,おぐ,2,現代語発音（全体）
26,小倉,2,漢字パーツ (1句目)
